Year,College Name,Total Points Per Game,Total Points,Total Touchdowns,1st Downs,Total 1st downs,Rushing 1st downs,Passing 1st downs,1st downs by penalty,3rd down efficiency,3rd down %,4th down efficiency,4th down %,Passing,Comp-Att,Net Passing Yards,Yards Per Pass Attempt,Net Passing Yards Per Game,Passing Touchdowns,Interceptions,Sacks-Yards Lost,Rushing,Rushing Attempts,Rushing Yards,Yards Per Rush Attempt,Rushing Yards Per Game,Rushing Touchdowns,Offense,Total Offensive Plays,Total Yards,Yards Per Game,Returns,Kickoffs: Total,Average Kickoff Return Yards,Punt: Total,Average Punt Return Yards,INT: Total,Average Interception Yards,Kicking,Net Average Punt Yards,Punt: Total Yards,FG: Good-Attempts,Touchback Percentage,Penalties,Total-Yards,Avg. Per Game (YDS),Time of Possession,Possession Time Seconds,Miscellaneous,Fumbles-Lost,Turnover Ratio
2024,Arkansas Razorbacks,26.8,321,37,,208,95,97,16,67-175,38.29,10-16,62.50,,207-323,"2,250",7.0,187.5,22,8,47--338,,472,"1,668",3.5,139.0,9,,842,"3,918",326.5,,23-500,21.7,15-180,12.0,12-235,19.6,,40.1,"59-2,770",20-24,84,,76-665,55,,30:43,,24-10,-1
2024,Arkansas State Red Wolves,27.1,352,43,,256,101,131,24,60-169,35.50,7-20,35.00,,208-370,"2,938",7.9,226.0,17,9,31--205,,459,"1,919",4.2,147.6,20,,860,"4,857",373.6,,30-761,25.4,17-164,9.6,8-194,24.3,,39.2,"61-2,680",17-22,16,,80-792,60,,26:17,,6-4,3
2024,Arkansas-Pine Bluff Golden Lions,15.2,167,23,,183,80,83,20,40-151,26.49,10-21,47.62,,,,,,,,,,,,,,,,,,,,49-969,19.8,13-109,8.4,4-23,5.8,,39.0,"77-3,001",2-3,23,,65-559,50,,29:18,,0,14
2024,Army Black Knights,20.5,246,30,,193,138,45,10,59-156,37.82,20-34,58.82,,83-164,"1,234",7.5,102.8,7,11,14--79,,574,"2,504",4.4,208.7,19,,752,"3,738",311.5,,12-223,18.6,9-149,16.6,9-180,20.0,,34.8,"44-1,617",12-15,73,,47-435,36,,32:32,,21-11,-3
2024,Auburn Tigers,26.2,340,43,,241,131,88,22,54-166,32.53,13-26,50.00,,189-317,"2,109",6.7,162.2,18,13,34--178,,513,"2,457",4.8,189.0,22,,864,"4,566",351.2,,33-708,21.5,25-250,10.0,12-179,14.9,,41.6,"62-2,775",13-13,51,,71-570,43,,29:03,,17-7,-2
2024,Austin Peay Governors,34.1,409,53,,245,104,114,27,58-164,35.37,13-23,56.52,,,,,,,,,,,,,,,,,,,,28-589,21.0,15-319,21.3,11-107,9.7,,41.2,"62-2,552",13-13,64,,76-691,57,,29:38,,0,15
2024,BYU Cougars,23.1,277,35,,201,70,113,18,45-156,28.85,13-26,50.00,,220-396,"2,465",6.2,205.4,17,9,19--139,,360,"1,252",3.5,104.3,15,,775,"3,717",309.8,,30-612,20.4,23-93,4.0,14-208,14.9,,41.1,"68-3,287",11-14,62,,64-516,43,,28:19,,20-10,1
2024,Ball State Cardinals,18.3,219,25,,216,112,84,20,63-168,37.50,10-18,55.56,,180-304,"1,639",5.4,136.6,9,9,26--174,,473,"2,058",4.4,171.5,15,,803,"3,697",308.1,,26-452,17.4,14-15,1.1,5-49,9.8,,36.0,"59-2,467",15-21,26,,62-542,45,,32:44,,14-7,-5
2024,Baylor Bears,23.1,277,32,,238,87,139,12,64-177,36.16,22-48,45.83,,263-442,"3,156",7.1,263.0,15,7,34--250,,413,"1,378",3.3,114.8,13,,889,"4,534",377.8,,42-996,23.7,13-201,15.5,7-14,2.0,,37.9,"37-1,592",18-25,29,,49-347,28,,31:42,,14-8,1
2024,Bethune-Cookman Wildcats,18.5,203,26,,176,80,69,27,50-163,30.68,13-19,68.42,,,,,,,,,,,,,,,,,,,,21-408,19.4,7-33,4.7,9-179,19.9,,39.3,"66-2,595",7-7,5,,49-389,35,,28:55,,0,16
2024,Boise State Broncos,32.1,450,54,,300,151,129,20,85-185,45.95,9-11,81.82,,216-372,"3,098",8.3,221.3,20,13,16--88,,560,"3,008",5.4,214.9,34,,948,"6,106",436.1,,26-502,19.3,8-27,3.4,11-76,6.9,,42.8,"56-2,759",24-26,47,,52-448,32,,31:11,,14-8,-2
2024,Boston College Eagles,24.8,323,42,,279,161,98,20,79-191,41.36,29-38,76.32,,204-361,"2,372",6.6,182.5,15,14,20--141,,547,"2,578",4.7,198.3,25,,928,"4,950",380.8,,20-311,15.6,12-112,9.3,8-45,5.6,,36.5,"53-2,010",11-14,27,,85-717,55,,31:27,,15-5,-2
2024,Bowling Green Falcons,25.6,333,42,,219,102,102,15,52-157,33.12,15-25,60.00,,213-357,"2,454",6.9,188.8,17,14,28--214,,429,"1,788",4.2,137.5,22,,814,"4,242",326.3,,23-462,20.1,18-148,8.2,17-282,16.6,,35.6,"50-1,955",13-18,15,,90-792,60,,30:32,,15-5,9
2024,Brown Bears,25.5,255,33,,237,67,150,20,70-161,43.48,14-25,56.00,,,,,,,,,,,,,,,,,,,,19-392,20.6,20-223,11.2,13-150,11.5,,37.8,"48-1,816",9-9,47,,36-355,35,,29:41,,0,16
2024,Bryant Bulldogs,36.5,401,45,,227,69,135,23,66-148,44.60,7-16,43.75,,,,,,,,,,,,,,,,,,,,37-708,19.1,9-70,7.8,11-105,9.5,,38.6,"43-1,658",9-9,22,,67-585,53,,30:56,,0,21
2024,Bucknell Bison,26.2,288,38,,232,69,139,24,69-166,41.57,7-17,41.18,,,,,,,,,,,,,,,,,,,,40-829,20.7,19-133,7.0,10-56,5.6,,36.7,"62-2,277",8-8,11,,66-575,52,,28:37,,0,13
2024,Buffalo Bulls,20.8,249,31,,206,90,100,16,63-184,34.24,15-41,36.59,,212-394,"2,223",5.6,185.3,14,11,17--86,,435,"1,603",3.7,133.6,15,,846,"3,826",318.8,,35-555,15.9,12-58,4.8,11-232,21.1,,38.9,"55-2,311",11-19,65,,58-499,41,,30:32,,12-8,0
2024,Butler Bulldogs,28.9,318,38,,216,111,84,21,55-140,39.29,16-26,61.54,,,,,,,,,,,,,,,,,,,,23-481,20.9,11-63,5.7,9-148,16.4,,37.5,"36-1,351",17-17,20,,46-419,38,,32:02,,0,14
2024,Cal Poly Mustangs,29.3,322,35,,214,47,148,19,42-142,29.58,11-22,50.00,,,,,,,,,,,,,,,,,,,,34-628,18.5,7-55,8.4,5-33,6.6,,37.5,"61-2,421",7-7,13,,52-439,39,,28:36,,0,10
2024,California Golden Bears,30.2,393,52,,278,113,132,33,74-191,38.74,17-32,53.13,,258-433,"2,836",6.6,218.2,22,16,24--195,,497,"2,245",4.5,172.7,26,,954,"5,081",390.8,,25-486,19.4,9-26,2.9,12-68,5.7,,38.5,"53-2,357",11-18,16,,72-583,44,,28:40,,23-12,-1
2024,Campbell Fighting Camels,28.7,316,43,,250,101,127,22,59-130,45.39,10-19,52.63,,,,,,,,,,,,,,,,,,,,41-744,18.1,9-106,11.8,8-50,6.3,,39.6,"39-1,544",5-5,40,,74-624,56,,28:03,,0,12
2024,Central Arkansas Bears,31.5,346,45,,230,94,114,22,52-154,33.77,13-22,59.09,,,,,,,,,,,,,,,,,,,,26-573,22.0,12-35,2.9,10-69,6.9,,42.0,"49-2,056",13-13,26,,86-835,75,,29:39,,0,17
2024,Central Connecticut Blue Devils,25.2,277,34,,206,100,87,19,48-142,33.80,7-15,46.67,,,,,,,,,,,,,,,,,,,,46-866,18.8,20-228,11.4,10-116,11.6,,39.1,"58-2,266",13-13,15,,75-657,59,,28:36,,0,15
2024,Central Michigan Chippewas,22.9,275,37,,227,110,90,27,57-167,34.13,16-23,69.57,,183-325,"2,216",6.8,184.7,15,11,26--168,,455,"1,913",4.2,159.4,21,,806,"4,129",344.1,,43-868,20.2,16-72,4.5,5-26,5.2,,38.3,"62-2,681",7-14,46,,80-697,58,,30:15,,15-4,-7
2024,Charleston Southern Buccaneers,16.0,176,21,,141,64,65,12,36-142,25.35,6-17,35.29,,,,,,,,,,,,,,,,,,,,22-415,18.9,21-189,9.0,10-107,10.7,,40.6,"71-2,886",10-11,34,,49-456,41,,27:46,,0,12
2024,Charlotte 49ers,17.5,210,25,,202,87,92,23,40-169,23.67,19-35,54.29,,186-328,"2,013",6.1,167.8,7,16,31--244,,464,"1,740",3.8,145.0,16,,823,"3,753",312.8,,29-619,21.3,24-227,9.5,11-107,9.7,,37.5,"61-2,717",11-19,46,,84-708,59,,32:17,,11-6,-5
2024,Chattanooga Mocs,27.5,357,41,,272,94,145,33,63-168,37.50,4-8,50.00,,,,,,,,,,,,,,,,,,,,22-457,20.8,13-92,7.1,10-186,18.6,,41.0,"62-2,543",23-24,39,,63-498,38,,32:26,,0,19
2024,Cincinnati Bearcats,24.1,289,35,,267,138,118,11,74-176,42.05,14-31,45.16,,218-360,"2,508",7.0,209.0,21,11,27--150,,517,"2,605",5.0,217.1,14,,904,"5,113",426.1,,15-249,16.6,15-52,3.5,8-100,12.5,,41.4,"45-1,935",15-19,43,,68-631,52,,31:58,,17-6,-4
2024,Clemson Tigers,29.8,388,49,,300,134,145,21,79-198,39.90,14-27,51.85,,302-474,"2,969",6.3,228.4,20,9,28--215,,524,"2,266",4.3,174.3,24,,1026,"5,235",402.7,,12-287,23.9,23-182,7.9,16-244,15.3,,39.9,"63-2,719",15-24,83,,64-554,42,,33:06,,22-13,6
2024,Coastal Carolina Chanticleers,27.7,360,44,,275,98,144,33,76-172,44.19,9-24,37.50,,273-410,"3,401",8.3,261.6,24,9,17--117,,465,"2,010",4.3,154.6,17,,892,"5,411",416.2,,30-482,16.1,14-69,0.9,14-283,20.2,,35.0,"40-1,579",17-25,64,,73-749,57,,31:50,,17-8,6
2024,Colgate Raiders,23.0,253,33,,211,87,101,23,63-167,37.73,12-23,52.17,,,,,,,,,,,,,,,,,,,,29-608,21.0,13-58,4.5,6-75,12.5,,39.8,"55-2,188",8-9,15,,63-565,51,,30:16,,0,16
2024,Colorado Buffaloes,28.0,336,42,,253,70,153,30,68-177,38.42,10-15,66.67,,323-474,"3,536",7.5,294.7,29,4,56--492,,358,827,2.3,68.9,12,,888,"4,363",363.6,,15-329,21.9,17-176,10.4,10-74,7.4,,40.6,"67-2,913",14-19,45,,107-854,71,,27:34,,12-7,9
2024,Colorado State Rams,26.1,313,38,,247,63,165,19,72-175,41.14,8-19,42.11,,311-501,"3,678",7.3,306.5,24,18,13--86,,332,"1,114",3.4,92.8,10,,846,"4,792",399.3,,26-580,22.3,13-150,11.5,9-74,8.2,,40.7,"53-2,288",15-19,66,,91-838,69,,26:34,,13-7,-6
